 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 25, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Ge_Ge_elstop.txt

 Ion = Germanium [32] , Mass = 72.56 amu

 Target Density =  5.3500E+00 g/cm3 = 4.4371E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ge     32    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.057E+00  5.325E+01      26 A        19 A        13 A   
   1.50 keV   2.129E+00  5.489E+01      26 A        19 A        14 A   
   1.60 keV   2.199E+00  5.646E+01      27 A        20 A        14 A   
   1.70 keV   2.267E+00  5.795E+01      28 A        20 A        14 A   
   1.80 keV   2.333E+00  5.938E+01      29 A        21 A        15 A   
   2.00 keV   2.459E+00  6.207E+01      31 A        22 A        16 A   
   2.25 keV   2.608E+00  6.516E+01      33 A        23 A        17 A   
   2.50 keV   2.749E+00  6.799E+01      35 A        24 A        17 A   
   2.75 keV   2.883E+00  7.061E+01      37 A        25 A        18 A   
   3.00 keV   3.011E+00  7.304E+01      38 A        27 A        19 A   
   3.25 keV   3.134E+00  7.530E+01      40 A        28 A        20 A   
   3.50 keV   3.253E+00  7.743E+01      42 A        29 A        20 A   
   3.75 keV   3.367E+00  7.943E+01      44 A        30 A        21 A   
   4.00 keV   3.477E+00  8.132E+01      45 A        31 A        22 A   
   4.50 keV   3.688E+00  8.481E+01      48 A        32 A        23 A   
   5.00 keV   3.888E+00  8.797E+01      52 A        34 A        25 A   
   5.50 keV   4.077E+00  9.086E+01      55 A        36 A        26 A   
   6.00 keV   4.259E+00  9.351E+01      58 A        38 A        27 A   
   6.50 keV   4.432E+00  9.595E+01      60 A        39 A        28 A   
   7.00 keV   4.600E+00  9.823E+01      63 A        41 A        29 A   
   8.00 keV   4.917E+00  1.023E+02      69 A        44 A        32 A   
   9.00 keV   5.216E+00  1.059E+02      74 A        47 A        34 A   
  10.00 keV   5.498E+00  1.091E+02      79 A        50 A        36 A   
  11.00 keV   5.766E+00  1.120E+02      85 A        52 A        38 A   
  12.00 keV   6.023E+00  1.146E+02      90 A        55 A        40 A   
  13.00 keV   6.268E+00  1.170E+02      95 A        58 A        42 A   
  14.00 keV   6.505E+00  1.192E+02      99 A        60 A        43 A   
  15.00 keV   6.733E+00  1.212E+02     104 A        63 A        45 A   
  16.00 keV   6.954E+00  1.230E+02     109 A        65 A        47 A   
  17.00 keV   7.168E+00  1.247E+02     114 A        68 A        49 A   
  18.00 keV   7.376E+00  1.263E+02     118 A        70 A        50 A   
  20.00 keV   7.775E+00  1.292E+02     127 A        75 A        54 A   
  22.50 keV   8.247E+00  1.322E+02     139 A        80 A        58 A   
  25.00 keV   8.693E+00  1.349E+02     150 A        86 A        62 A   
  27.50 keV   9.117E+00  1.372E+02     161 A        91 A        66 A   
  30.00 keV   9.522E+00  1.391E+02     171 A        97 A        70 A   
  32.50 keV   9.911E+00  1.409E+02     182 A       102 A        74 A   
  35.00 keV   1.029E+01  1.424E+02     193 A       107 A        77 A   
  37.50 keV   1.065E+01  1.437E+02     203 A       112 A        81 A   
  40.00 keV   1.100E+01  1.449E+02     214 A       117 A        84 A   
  45.00 keV   1.166E+01  1.469E+02     234 A       127 A        92 A   
  50.00 keV   1.229E+01  1.484E+02     255 A       137 A        98 A   
  55.00 keV   1.289E+01  1.496E+02     276 A       147 A       105 A   
  60.00 keV   1.347E+01  1.506E+02     296 A       157 A       112 A   
  65.00 keV   1.402E+01  1.513E+02     316 A       166 A       119 A   
  70.00 keV   1.455E+01  1.518E+02     337 A       176 A       125 A   
  80.00 keV   1.555E+01  1.525E+02     377 A       194 A       138 A   
  90.00 keV   1.649E+01  1.527E+02     418 A       213 A       151 A   
 100.00 keV   1.739E+01  1.526E+02     459 A       231 A       163 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E+00                 eV / Angstrom 
  1.0000E+01                keV / micron   
  1.0000E+01                MeV / mm       
  1.8692E-02                keV / (ug/cm2) 
  1.8692E-02                MeV / (mg/cm2) 
  1.8692E+01                keV / (mg/cm2) 
  2.2537E+00                 eV / (1E15 atoms/cm2)
  2.3365E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
