2026-03-26 09:47 - ml4cascades.lammps.process - INFO - #------------Processing 30 files------------#

2026-03-26 09:49 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 2000 eV-----ecut 1eV-------#
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 70.016 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 70.043 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 69.953 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 69.963 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 6 running 69.974 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 69.989 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 70.038 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 69.974 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 70.043 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 69.985 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 69.964 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 69.996 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 70.031 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 70.033 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 69.98 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 69.981 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 70.015 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 70.049 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 69.997 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 70.045 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 70.032 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 24 running 70.027 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 69.99 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 26 running 69.951 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 70.012 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 28 running 70.03 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 70.03 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 69.993 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 31 running 69.97 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 32 running 70.045 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 33 running 69.95 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 34 running 70.011 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - Found defect.txt in 35 running 69.964 ps.
2026-03-26 09:49 - ml4cascades.lammps.process - INFO - #------------Processing 33 files------------#

2026-03-26 09:50 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 2000 eV-----ecut 10eV-------#
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 69.816 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 69.805 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 70.042 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 69.939 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 69.949 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 6 running 69.927 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 69.873 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 69.907 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 69.794 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 69.83 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 69.857 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 69.918 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 69.773 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 69.784 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 69.887 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 69.978 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 69.977 ps.
2026-03-26 09:50 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 69.752 ps.
