2025-07-08 21:57 - ml4cascades.lammps - INFO - ------------------Cascade simulation for energy: 100 eV, supercell size: 7 --------------------
2025-07-08 21:58 - ml4cascades.lammps - INFO - PKA ID: 5252 with Velocities: -200.13, -113.05, -231.15 ang/ps
2025-07-08 21:58 - ml4cascades.lammps - INFO - PKA ID: 5263 with Velocities: -179.00, -63.74, -264.87 ang/ps
2025-07-08 21:58 - ml4cascades.lammps - INFO - PKA ID: 4384 with Velocities: -97.83, -10.43, -310.78 ang/ps
2025-07-08 21:58 - ml4cascades.lammps - INFO - PKA ID: 5252 with Velocities: -153.57, -91.62, -272.55 ang/ps
2025-07-08 21:58 - ml4cascades.lammps - INFO - PKA ID: 4534 with Velocities: -125.66, -165.32, -251.28 ang/ps
2025-07-08 21:58 - ml4cascades.lammps - INFO - PKA ID: 4461 with Velocities: -100.81, -41.35, -307.23 ang/ps
2025-07-08 21:58 - ml4cascades.lammps - INFO - PKA ID: 5252 with Velocities: -190.96, -118.04, -236.36 ang/ps
2025-07-08 21:58 - ml4cascades.lammps - INFO - PKA ID: 5252 with Velocities: -167.52, -118.20, -253.43 ang/ps
2025-07-08 21:58 - ml4cascades.lammps - INFO - PKA ID: 4464 with Velocities: -102.72, -110.93, -288.80 ang/ps
2025-07-08 21:58 - ml4cascades.lammps - INFO - PKA ID: 5257 with Velocities: -135.25, -35.71, -294.44 ang/ps
2025-07-08 21:58 - ml4cascades.lammps - INFO - PKA ID: 5257 with Velocities: -142.53, -2.53, -293.16 ang/ps
2025-07-08 21:58 - ml4cascades.lammps - INFO - PKA ID: 5337 with Velocities: -131.88, -155.78, -254.17 ang/ps
2025-07-08 22:02 - ml4cascades.lammps - INFO - --------------------------------------Check supercell size ----------------------------------------
2025-07-08 22:02 - ml4cascades.lammps - INFO - Energy: 100 eV, Failed cases: 0 for energy 100 eV with size 7.
2025-07-08 22:02 - ml4cascades.lammps - INFO - Energy: 400 eV, Failed cases: 0 for energy 400 eV with size 10.
2025-07-08 22:09 - ml4cascades.lammps - INFO - ------------------Cascade simulation for energy: 1000 eV, supercell size: 16 --------------------
2025-07-08 22:09 - ml4cascades.lammps - INFO - PKA ID: 19420 with Velocities: -152.32, -10.50, -492.28 ang/ps
2025-07-08 22:09 - ml4cascades.lammps - INFO - PKA ID: 21721 with Velocities: -248.26, -157.48, -423.35 ang/ps
2025-07-08 22:09 - ml4cascades.lammps - INFO - PKA ID: 17629 with Velocities: -104.10, -143.21, -484.05 ang/ps
2025-07-08 22:09 - ml4cascades.lammps - INFO - PKA ID: 19675 with Velocities: -153.67, -180.26, -457.76 ang/ps
2025-07-08 22:09 - ml4cascades.lammps - INFO - PKA ID: 19553 with Velocities: -143.09, -15.40, -494.92 ang/ps
2025-07-08 22:09 - ml4cascades.lammps - INFO - PKA ID: 19675 with Velocities: -152.46, -183.85, -456.74 ang/ps
2025-07-08 22:09 - ml4cascades.lammps - INFO - PKA ID: 19550 with Velocities: -242.89, -50.61, -451.77 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19547 with Velocities: -166.06, -74.98, -482.14 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 21721 with Velocities: -305.40, -164.93, -381.03 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 21721 with Velocities: -276.70, -160.38, -404.19 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 21721 with Velocities: -299.51, -154.56, -389.95 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19548 with Velocities: -148.38, -131.81, -475.67 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19552 with Velocities: -282.02, -101.29, -419.35 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19549 with Velocities: -236.54, -29.45, -456.98 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19674 with Velocities: -180.00, -165.65, -453.67 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19675 with Velocities: -157.30, -192.37, -451.56 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 21721 with Velocities: -293.48, -112.92, -408.38 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19674 with Velocities: -190.65, -187.67, -440.55 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 21717 with Velocities: -316.43, -178.75, -365.48 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19552 with Velocities: -283.03, -100.79, -418.80 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19420 with Velocities: -154.68, -16.49, -491.38 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19552 with Velocities: -242.81, -144.87, -430.94 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19668 with Velocities: -198.68, -261.39, -397.31 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19547 with Velocities: -159.40, -65.38, -485.77 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 21727 with Velocities: -301.93, -186.63, -373.71 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19670 with Velocities: -264.87, -186.90, -400.71 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19674 with Velocities: -162.42, -175.40, -456.63 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19549 with Velocities: -213.85, -56.46, -465.55 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19549 with Velocities: -225.36, -4.00, -463.52 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 19679 with Velocities: -208.52, -246.31, -401.87 ang/ps
2025-07-08 22:10 - ml4cascades.lammps - INFO - ------------------Cascade simulation for energy: 2000 eV, supercell size: 20 --------------------
2025-07-08 22:10 - ml4cascades.lammps - INFO - PKA ID: 36917 with Velocities: -215.41, -14.85, -696.19 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 40279 with Velocities: -351.09, -222.71, -598.70 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 33878 with Velocities: -147.22, -202.53, -684.55 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 37079 with Velocities: -217.33, -254.93, -647.37 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 36756 with Velocities: -202.36, -21.78, -699.92 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 37079 with Velocities: -215.61, -260.01, -645.92 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 40114 with Velocities: -343.50, -71.57, -638.90 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 36916 with Velocities: -234.85, -106.04, -681.84 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 43467 with Velocities: -431.90, -233.25, -538.86 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 40279 with Velocities: -391.31, -226.82, -571.61 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 40270 with Velocities: -423.57, -218.58, -551.47 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 37077 with Velocities: -209.84, -186.41, -672.70 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 40120 with Velocities: -398.84, -143.25, -593.06 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 40114 with Velocities: -334.52, -41.66, -646.27 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 37080 with Velocities: -254.56, -234.27, -641.58 ang/ps
2025-07-08 22:11 - ml4cascades.lammps - INFO - PKA ID: 37080 with Velocities: -222.45, -272.05, -638.60 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 40270 with Velocities: -415.04, -159.69, -577.53 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 37080 with Velocities: -269.62, -265.41, -623.03 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 43467 with Velocities: -447.50, -252.79, -516.87 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 40120 with Velocities: -400.26, -142.54, -592.27 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 36917 with Velocities: -218.75, -23.32, -694.92 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 40274 with Velocities: -343.38, -204.88, -609.44 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 37230 with Velocities: -280.98, -369.66, -561.88 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 36916 with Velocities: -225.43, -92.46, -686.98 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 43467 with Velocities: -426.99, -263.94, -528.51 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 40268 with Velocities: -374.58, -264.31, -566.69 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 37079 with Velocities: -229.69, -248.06, -645.77 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 40115 with Velocities: -302.42, -79.85, -658.39 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 36760 with Velocities: -318.71, -5.65, -655.52 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 37230 with Velocities: -294.89, -348.34, -568.34 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - ------------------Cascade simulation for energy: 5000 eV, supercell size: 27 --------------------
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 90455 with Velocities: -340.60, -23.48, -1100.78 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 96711 with Velocities: -555.13, -352.13, -946.63 ang/ps
2025-07-08 22:12 - ml4cascades.lammps - INFO - PKA ID: 85046 with Velocities: -232.78, -320.23, -1082.38 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 91093 with Velocities: -343.62, -403.08, -1023.58 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 90444 with Velocities: -319.96, -34.44, -1106.66 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 91093 with Velocities: -340.90, -411.11, -1021.29 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 96493 with Velocities: -543.12, -113.16, -1010.19 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 90662 with Velocities: -371.32, -167.67, -1078.09 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 102530 with Velocities: -682.89, -368.80, -852.01 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 102531 with Velocities: -618.72, -358.63, -903.79 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 102530 with Velocities: -669.73, -345.60, -871.95 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 90877 with Velocities: -331.78, -294.74, -1063.63 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 102316 with Velocities: -630.62, -226.50, -937.70 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 96493 with Velocities: -528.93, -65.86, -1021.84 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 90880 with Velocities: -402.49, -370.41, -1014.43 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 91093 with Velocities: -351.73, -430.15, -1009.72 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 102316 with Velocities: -656.24, -252.49, -913.16 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 90880 with Velocities: -426.31, -419.64, -985.10 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 102536 with Velocities: -707.56, -399.69, -817.24 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 102316 with Velocities: -632.87, -225.37, -936.46 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 90444 with Velocities: -345.88, -36.88, -1098.76 ang/ps
2025-07-08 22:13 - ml4cascades.lammps - INFO - PKA ID: 96711 with Velocities: -542.94, -323.94, -963.61 ang/ps
2025-07-08 22:14 - ml4cascades.lammps - INFO - PKA ID: 96915 with Velocities: -444.27, -584.49, -888.41 ang/ps
2025-07-08 22:14 - ml4cascades.lammps - INFO - PKA ID: 90662 with Velocities: -356.43, -146.19, -1086.21 ang/ps
2025-07-08 22:14 - ml4cascades.lammps - INFO - PKA ID: 102749 with Velocities: -675.13, -417.32, -835.65 ang/ps
2025-07-08 22:14 - ml4cascades.lammps - INFO - PKA ID: 102531 with Velocities: -592.26, -417.92, -896.01 ang/ps
2025-07-08 22:14 - ml4cascades.lammps - INFO - PKA ID: 90880 with Velocities: -363.18, -392.21, -1021.05 ang/ps
2025-07-08 22:14 - ml4cascades.lammps - INFO - PKA ID: 96490 with Velocities: -478.17, -126.25, -1041.00 ang/ps
2025-07-08 22:14 - ml4cascades.lammps - INFO - PKA ID: 96274 with Velocities: -503.92, -8.93, -1036.46 ang/ps
2025-07-08 22:14 - ml4cascades.lammps - INFO - PKA ID: 96915 with Velocities: -466.26, -550.77, -898.62 ang/ps
2025-07-08 22:49 - ml4cascades.lammps - INFO - --------------------------------------Check supercell size ----------------------------------------
2025-07-08 22:49 - ml4cascades.lammps - WARNING - Simulation run less than 30 ps for energy 1000 eV, hkl: 7.
2025-07-08 22:49 - ml4cascades.lammps - INFO - Energy: 1000 eV, Failed cases: 1 for energy 1000 eV with size 16.
2025-07-08 22:49 - ml4cascades.lammps - WARNING - Simulation run less than 30 ps for energy 2000 eV, hkl: 9.
2025-07-08 22:49 - ml4cascades.lammps - INFO - Energy: 2000 eV, Failed cases: 1 for energy 2000 eV with size 20.
2025-07-08 22:49 - ml4cascades.lammps - WARNING - Simulation run less than 30 ps for energy 5000 eV, hkl: 9.
2025-07-08 22:49 - ml4cascades.lammps - WARNING - Simulation run less than 30 ps for energy 5000 eV, hkl: 14.
2025-07-08 22:49 - ml4cascades.lammps - WARNING - Simulation run less than 30 ps for energy 5000 eV, hkl: 15.
2025-07-08 22:49 - ml4cascades.lammps - WARNING - Simulation run less than 30 ps for energy 5000 eV, hkl: 21.
2025-07-08 22:49 - ml4cascades.lammps - WARNING - Simulation run less than 30 ps for energy 5000 eV, hkl: 26.
2025-07-08 22:49 - ml4cascades.lammps - WARNING - Simulation run less than 30 ps for energy 5000 eV, hkl: 27.
2025-07-08 22:49 - ml4cascades.lammps - WARNING - Simulation run less than 30 ps for energy 5000 eV, hkl: 28.
2025-07-08 22:49 - ml4cascades.lammps - INFO - Energy: 5000 eV, Failed cases: 7 for energy 5000 eV with size 27.
2025-07-08 23:01 - ml4cascades.lammps - INFO - ------------------Cascade simulation for energy: 5000 eV, supercell size: 30 --------------------
2025-07-08 23:02 - ml4cascades.lammps - INFO - PKA ID: 126177 with Velocities: -340.60, -23.48, -1100.78 ang/ps
2025-07-08 23:02 - ml4cascades.lammps - INFO - PKA ID: 133850 with Velocities: -555.13, -352.13, -946.63 ang/ps
2025-07-08 23:02 - ml4cascades.lammps - INFO - PKA ID: 119212 with Velocities: -232.78, -320.23, -1082.38 ang/ps
2025-07-08 23:02 - ml4cascades.lammps - INFO - PKA ID: 126651 with Velocities: -343.62, -403.08, -1023.58 ang/ps
2025-07-08 23:02 - ml4cascades.lammps - INFO - PKA ID: 126177 with Velocities: -319.96, -34.44, -1106.66 ang/ps
2025-07-08 23:03 - ml4cascades.lammps - INFO - PKA ID: 126651 with Velocities: -340.90, -411.11, -1021.29 ang/ps
